Gene_Symbol,U_statistic,P_value,FDR
TBXA2R,102618.5,0.9794296135553401,
IFRD1,89622.0,0.004895295546677229,
LGALS14,106547.5,0.3406855090824432,
COX10,96636.5,0.20015299826406763,
GTF2IRD1,112385.5,0.030775986718694463,
PAF1,125075.5,8.104636392892625e-07,
VPS41,91136.0,0.01302730109754116,
ARHGAP44,95991.0,0.15497891942631395,
ELAC2,100618.0,0.6809817122375728,
SCIN,99048.5,0.4508053081165243,
ARSD,104358.5,0.6847507503541753,
PNPLA4,104307.5,0.6929573001137985,
MYH13,111666.5,0.04519116327371727,
ADIPOR2,101437.0,0.8164095920867779,
CDKL3,107212.5,0.3031917642981007,
UPP2,94660.0,0.08670623494915593,
PRSS21,103976.0,0.7471410745591842,
MARK4,114741.0,0.007480639279154228,
PROM1,89839.5,0.005669313102460172,
CCDC124,119343.5,0.0002329234347035959,
CEACAM21,102699.0,0.9654034392864601,
PAFAH1B1,84468.0,8.146899726686668e-05,
NOS2,96145.0,0.16498083273919983,
DNAH9,98339.5,0.3633488643938865,
BLTP2,104701.0,0.6306386844245739,
SLC13A2,90073.5,0.006621497327620651,
GAS7,101124.5,0.7638344829966439,
TRAPPC6A,116222.0,0.002715212676739619,
MATK,116314.5,0.0025404830199655874,
CEACAM7,105272.5,0.5444910240324704,
CD79B,102901.0,0.9302640029019179,
SCN4A,90073.5,0.006623813154244565,
ST7L,106398.5,0.39435484553637756,
TKTL1,90335.5,0.00755469942128136,
PAX6,100171.5,0.6107799522185227,
RPUSD1,120507.5,8.330632967866286e-05,
RHBDF1,112225.0,0.03359608353586444,
LUC7L,112712.5,0.025654020007278136,
CACNA2D2,111165.5,0.05830778618282651,
BAIAP3,109762.0,0.11258061511493661,
TSR3,118357.0,0.0005306633908234917,
PIGQ,118155.5,0.0006244835524793287,
CRAMP1,105535.5,0.5072194424541945,
TEAD3,102132.5,0.9360840416547639,
SELE,90342.5,0.007897784045751057,
DNAJC11,103896.5,0.760337243238175,
FMO3,97072.0,0.2356399498525087,
MYLIP,99941.5,0.5761993234475642,
NOX1,106480.5,0.38448394121399776,
E2F2,112550.5,0.028091149588859617,
PSMB1,103601.5,0.8098822600305433,
SYN1,106118.5,0.4291983452940922,
JARID2,110012.5,0.1007068746161318,
CDKL5,93340.0,0.04534614747274139,
CAMK1G,108332.0,0.2025803717081256,
CDK11A,104815.0,0.6130403762521099,
NADK,106522.0,0.3795465051833118,
TFAP2B,99522.0,0.5152959375442309,
TFAP2D,100184.0,0.3388924667622918,
DLEC1,101552.0,0.8359809872225348,
CYTH3,93571.5,0.05107555194277053,
ADAM22,99221.5,0.47382396530018966,
SYPL1,90342.0,0.007895227303338422,
CYB561,111925.0,0.03946225942393473,
SPAG9,88546.5,0.002297191654270227,
CELSR3,114754.5,0.007415076921536814,
AASS,92747.0,0.03308874683271059,
PLEKHG6,96533.0,0.19232519586418984,
SS18L2,113182.0,0.01959576218951738,
MPND,120842.0,6.129351638916179e-05,
MGST1,85995.0,0.0003105048454805428,
CRY1,89423.5,0.004273722185107495,
PGLYRP1,99826.5,0.5540553190905013,
NFIX,91134.0,0.013011329097387838,
ST3GAL1,101071.5,0.7550175515697677,
MMP25,110921.5,0.0657593201850357,
IL32,112085.5,0.036223956362587004,
PKD1,101241.0,0.7833215931099473,
MAPK8IP2,117484.5,0.0010598696327499455,
MED24,111597.0,0.046848959181524395,
RHOBTB2,115407.5,0.0047980250786686,
HEATR5B,95549.0,0.12882700215353002,
SEC62,93079.0,0.039546006720396994,
RPS20,96013.0,0.15637893367845201,
CSDE1,88637.0,0.0024530383383029836,
UBE3C,100472.0,0.6577468475636574,
REV3L,82468.0,1.2029398925968659e-05,
TENM1,97450.0,0.2698704196492796,
PAX7,93322.0,0.03992327591948475,
MASP2,92670.5,0.03173592144789285,
IYD,99344.0,0.490445315037383,
FAM76A,85722.0,0.00024634747511119063,
TRAF3IP3,117799.5,0.0008288903031159575,
POMT2,106886.0,0.33792696607707806,
VTA1,89458.0,0.004376331278047368,
MLXIPL,87763.0,0.0012816744654145827,
BAZ1B,106992.5,0.32632629224179377,
RANBP9,107498.5,0.2747866005310351,
